SITE,INCREMENTAL_BASIN,CUMULATIVE_BASIN,LABEL,SEASON,CUM_Q,NET_Q,CUM_Q_AREA,NET_Q_AREA,CUM_NH4_C,NET_NH4_C,CUM_NH4_L,NET_NH4_L,CUM_NH4_L_AREA,NET_NH4_L_AREA,CUM_NO23_C,NET_NO23_C,CUM_NO23_L,NET_NO23_L,CUM_NO23_L_AREA,NET_NO23_L_AREA,CUM_PO4_C,NET_PO4_C,CUM_PO4_L,NET_PO4_L,CUM_PO4_L_AREA,NET_PO4_L_AREA,CUM_PP_C,NET_PP_C,CUM_PP_L,NET_PP_L,CUM_PP_L_AREA,NET_PP_L_AREA,CUM_TN_C,NET_TN_C,CUM_TN_L,NET_TN_L,CUM_TN_L_AREA,NET_TN_L_AREA,CUM_TP_C,NET_TP_C,CUM_TP_L,NET_TP_L,CUM_TP_L_AREA,NET_TP_L_AREA,CUM_TSS_C,NET_TSS_C,CUM_TSS_L,NET_TSS_L,CUM_TSS_L_AREA,NET_TSS_L_AREA
SR0040,NF,NF,Upper NF,Annual,79.66,79.66,42.63,42.63,12.08,,962.5,962.5,5.151,5.151,15.2,,1210.8,1210.8,6.48,6.48,31.31,,2493.9,2493.9,13.347,13.347,20.03,,1595.9,1595.9,8.541,8.541,139.71,,11128.7,11128.7,59.559,59.559,51.33,,4089,4089,21.884,21.884,4195.09,,347805.5,347805.5,1861.39,1861.39
SR0050,SF,SF,Upper SF,Annual,45.13,45.13,16.14,16.14,12.65,,570.8,570.8,2.042,2.042,12.48,,563,563,2.014,2.014,20.62,,930.6,930.6,3.329,3.329,25.95,,1171.2,1171.2,4.19,4.19,185.6,,8376.1,8376.1,29.964,29.964,46.57,,2101.6,2101.6,7.518,7.518,9394.61,,445456.3,445456.3,1593.523,1593.523
SR0060,Godowa-SF_Ivory-NF_Ivory,Godowa,Upper Sprague,Annual,262.9,91.6,17.88,50.43,14.84,0.17,3902.3,1389.2,2.654,7.648,25.41,10.93,6680.6,4200.7,4.544,23.125,37.68,8.19,9906.3,4854.4,6.738,26.724,28.98,-6.69,7618.2,1508.2,5.182,8.303,244.63,-16.48,64311.9,19586,43.746,107.824,66.66,1.5,17524.3,6363.1,11.92,35.03,12915.49,-7419.95,3523872.6,-214445.4,2396.986,-1180.549
SR0070,Sycan,Sycan,Sycan,Annual,82.44,82.44,5.72,5.72,14.78,,1218.6,1218.6,0.846,0.846,17.89,,1475.2,1475.2,1.024,1.024,15.46,,1274.9,1274.9,0.885,0.885,34.18,,2818.1,2818.1,1.956,1.956,474.7,,39134.6,39134.6,27.166,27.166,49.65,,4093,4093,2.841,2.841,8882.14,,812069.6,812069.6,563.712,563.712
SR0080,Lone_Pine-Godowa-Sycan,Lone_Pine,Middle Sprage,Annual,371.82,26.48,10.07,3.39,13.35,-1.48,4962,-158.9,1.344,-0.203,17.07,-6.55,6346.7,-1809.1,1.719,-2.313,34.47,2.09,12816.6,1635.4,3.471,2.091,35.36,5.14,13146.4,2710.1,3.56,3.465,362.3,62.75,134713.2,31266.7,36.48,39.979,69.83,7.23,25963,4345.7,7.031,5.557,14696.62,2793.46,5862012.9,1526070.8,1587.422,1951.279
SR0090,Power-Lone_Pine,Power,Lower Sprague,Annual,371.51,-0.31,9.01,-0.07,14.65,1.31,5443.6,481.6,1.32,1.121,16.22,-0.84,6027.4,-319.3,1.462,-0.743,38.78,4.31,14408.2,1591.6,3.495,3.704,33.03,-2.33,12270.9,-875.5,2.977,-2.037,340.22,-22.09,126393.8,-8319.4,30.659,-19.358,71.81,1.99,26679.1,716.1,6.472,1.666,14534.73,-161.89,5741127.8,-120885.1,1392.615,-281.284
SR0140,NF_Ivory-NF,NF_Ivory,Lower NF,Annual,98.9,19.24,18.47,5.52,13.73,1.65,1357.9,395.5,2.537,1.135,14.91,-0.29,1475,264.2,2.755,0.758,32.25,0.94,3189.1,695.2,5.957,1.995,32.87,12.83,3250.7,1654.8,6.072,4.749,193.12,53.41,19098.8,7970.1,35.677,22.872,65.11,13.78,6439.1,2350.1,12.028,6.744,18161.33,13966.23,1925354.2,1577548.7,3596.605,4527.036
SR0150,SF_Ivory-SF,SF_Ivory,Lower SF,Annual,72.4,27.27,9.61,5.76,15.96,3.31,1155.2,584.4,1.534,1.234,13.88,1.4,1004.9,441.8,1.334,0.933,25.73,5.11,1862.8,932.2,2.473,1.968,39.5,13.54,2859.3,1688.1,3.797,3.564,353.98,168.38,25627,17250.9,34.026,36.424,65.23,18.66,4722.1,2620.5,6.27,5.533,23297.26,13902.64,1812963.8,1367507.5,2407.167,2887.409
SR0040,NF,NF,Upper NF,Fall (Oct-Dec),46.73,46.73,25.01,25.01,12.77,,596.9,596.9,3.194,3.194,14.95,,698.6,698.6,3.739,3.739,43.64,,2039.4,2039.4,10.914,10.914,15.28,,714,714,3.821,3.821,123.55,,5773.2,5773.2,30.897,30.897,58.89,,2751.8,2751.8,14.727,14.727,2692.16,,133236.7,133236.7,713.058,713.058
SR0050,SF,SF,Upper SF,Fall (Oct-Dec),15.89,15.89,5.68,5.68,13.03,,207,207,0.741,0.741,13.06,,207.5,207.5,0.742,0.742,28.6,,454.4,454.4,1.626,1.626,22.18,,352.5,352.5,1.261,1.261,187.16,,2974.3,2974.3,10.64,10.64,50.77,,806.9,806.9,2.886,2.886,7494.9,,128413.6,128413.6,459.372,459.372
