"SITE","DESCRIPTION","LAT","LON"
"SR0040","NF Sprague @ 3411 Rd",42.4969722222222,-121.005555555556
"SR0040","NF Sprague R @ FS 3411 Rd",42.4969722222222,-121.005555555556
"SR0050","SF Sprague @ Picnic Area",42.3760555555556,-120.969444444444
"SR0050","SF Sprague @ Picnic Area",42.5505,-120.969444444444
"SR0050","SF Sprague R @ Picnic Area",42.3760555555556,-120.969444444444
"SR0060","Sprague R @ Godowa Rd",42.4603888888889,-121.269861111111
"SR0070","Sycan R @ Drews Rd",42.4856944444444,-121.348722222222
"SR0080","Sprague R @ Lone Pine",42.5505,-121.617611111111
"SR0090","Sprague R @ Power Plant",42.5846388888889,-121.841861111111
"SR0140","N. Fork Sprague R @ Ivory Pine",42.4563055555556,-121.111666666667
"SR0140","NF Sprague R @ Ivory Pine",42.4563055555556,-121.111666666667
"SR0150","SF Sprague @ Ivory Pine",42.7426666666667,-121.164888888889
"SR0150","SF Sprague R @ Ivory Pine",42.7426666666667,-121.164888888889
