"SEASON","N_DAY","N_YEAR","PERIOD","SITE_NAME","AREA_KM2","TERM","VAR","VALUE"
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"Q","TOT",371.510695481207
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"Q","TOT",371.823706968435
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"Q","TOT",262.899433055422
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"Q","TOT",82.4398520141343
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"Q","TOT",72.3969319141347
"Annual",1826,5,"2010-2014","SF",279.5418,"Q","TOT",45.1305244552638
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"Q","TOT",98.8977472471922
"Annual",1826,5,"2010-2014","NF",186.8526,"Q","TOT",79.6586926282504
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"L","TOT",26.6791111112238
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"L","TOT",25.9629630084246
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"L","TOT",17.5243194060043
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"L","TOT",4.09295283291035
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"L","TOT",4.72212277798429
"Annual",1826,5,"2010-2014","SF",279.5418,"L","TOT",2.10159347635359
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"L","TOT",6.43912932137808
"Annual",1826,5,"2010-2014","NF",186.8526,"L","TOT",4.08904284011549
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"C","TOT",71.8124980942126
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"C","TOT",69.8260022743216
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"C","TOT",66.6578820742833
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"C","TOT",49.6477459979988
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"C","TOT",65.2254543546803
"Annual",1826,5,"2010-2014","SF",279.5418,"C","TOT",46.5670076233397
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"C","TOT",65.1089585011846
"Annual",1826,5,"2010-2014","NF",186.8526,"C","TOT",51.3320355281018
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"Q","GW",301.378548446772
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"Q","GW",236.094767922694
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"Q","GW",199.428535025609
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"Q","GW",18.7802656302143
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"Q","GW",33.0890394437109
"Annual",1826,5,"2010-2014","SF",279.5418,"Q","GW",21.4631607202449
