"DATASET","VAR","MONTHYEAR","MONTH","WYEAR","SITE_NAME","AREA_KM2","TERM","VALUE"
"POR","NH4",2001-10-01,10,2002,"Power",4122.55080000001,"L",265.975332334418
"POR","NH4",2001-10-01,10,2002,"Lone_Pine",3692.78910000001,"L",142.523618625261
"POR","NH4",2001-10-01,10,2002,"Godowa",1470.1266,"L",184.276016827247
"POR","NH4",2001-10-01,10,2002,"Sycan",1440.5751,"L",36.3466835696465
"POR","NH4",2001-10-01,10,2002,"SF",279.5418,"L",8.82632679520612
"POR","NH4",2001-10-01,10,2002,"NF",186.8526,"L",29.6831655040532
"POR","NH4",2001-10-01,10,2002,"Power-Lone_Pine",429.7617,"L",123.451713709156
"POR","NH4",2001-10-01,10,2002,"Lone_Pine-Godowa-Sycan",782.0874,"L",-78.0990817716325
"POR","NH4",2001-10-01,10,2002,"Godowa-SF-NF",1003.7322,"L",145.766524527988
"POR","NH4",2001-11-01,11,2002,"Power",4122.55080000001,"L",319.186631103214
"POR","NH4",2001-11-01,11,2002,"Lone_Pine",3692.78910000001,"L",177.423507376877
"POR","NH4",2001-11-01,11,2002,"Godowa",1470.1266,"L",134.031712147001
"POR","NH4",2001-11-01,11,2002,"Sycan",1440.5751,"L",20.8182370632755
"POR","NH4",2001-11-01,11,2002,"SF",279.5418,"L",7.24238815951297
"POR","NH4",2001-11-01,11,2002,"NF",186.8526,"L",29.5797861462303
"POR","NH4",2001-11-01,11,2002,"Power-Lone_Pine",429.7617,"L",141.763123726336
"POR","NH4",2001-11-01,11,2002,"Lone_Pine-Godowa-Sycan",782.0874,"L",22.5735581666009
"POR","NH4",2001-11-01,11,2002,"Godowa-SF-NF",1003.7322,"L",97.2095378412575
"POR","NH4",2001-12-01,12,2002,"Power",4122.55080000001,"L",285.410818311862
"POR","NH4",2001-12-01,12,2002,"Lone_Pine",3692.78910000001,"L",215.315323165386
"POR","NH4",2001-12-01,12,2002,"Godowa",1470.1266,"L",160.005059438137
"POR","NH4",2001-12-01,12,2002,"Sycan",1440.5751,"L",37.5475094501339
"POR","NH4",2001-12-01,12,2002,"SF",279.5418,"L",6.63525288735969
"POR","NH4",2001-12-01,12,2002,"NF",186.8526,"L",72.0666959356147
"POR","NH4",2001-12-01,12,2002,"Power-Lone_Pine",429.7617,"L",70.0954951464758
"POR","NH4",2001-12-01,12,2002,"Lone_Pine-Godowa-Sycan",782.0874,"L",17.7627542771155
"POR","NH4",2001-12-01,12,2002,"Godowa-SF-NF",1003.7322,"L",81.3031106151628
"POR","NH4",2002-01-01,1,2002,"Power",4122.55080000001,"L",545.465289520274
"POR","NH4",2002-01-01,1,2002,"Lone_Pine",3692.78910000001,"L",468.482680832853
"POR","NH4",2002-01-01,1,2002,"Godowa",1470.1266,"L",341.474847817026
"POR","NH4",2002-01-01,1,2002,"Sycan",1440.5751,"L",70.3324465769852
"POR","NH4",2002-01-01,1,2002,"SF",279.5418,"L",23.8599054766971
"POR","NH4",2002-01-01,1,2002,"NF",186.8526,"L",266.275876501487
"POR","NH4",2002-01-01,1,2002,"Power-Lone_Pine",429.7617,"L",76.9826086874215
"POR","NH4",2002-01-01,1,2002,"Lone_Pine-Godowa-Sycan",782.0874,"L",56.6753864388418
"POR","NH4",2002-01-01,1,2002,"Godowa-SF-NF",1003.7322,"L",51.3390658388412
"POR","NH4",2002-02-01,2,2002,"Power",4122.55080000001,"L",469.09102267416
"POR","NH4",2002-02-01,2,2002,"Lone_Pine",3692.78910000001,"L",464.861641294759
"POR","NH4",2002-02-01,2,2002,"Godowa",1470.1266,"L",189.78130198851
"POR","NH4",2002-02-01,2,2002,"Sycan",1440.5751,"L",129.958388090087
"POR","NH4",2002-02-01,2,2002,"SF",279.5418,"L",45.2711396867378
"POR","NH4",2002-02-01,2,2002,"NF",186.8526,"L",27.929022845964
"POR","NH4",2002-02-01,2,2002,"Power-Lone_Pine",429.7617,"L",4.22938137940093
"POR","NH4",2002-02-01,2,2002,"Lone_Pine-Godowa-Sycan",782.0874,"L",145.121951216162
"POR","NH4",2002-02-01,2,2002,"Godowa-SF-NF",1003.7322,"L",116.581139455808
