"DATASET","VAR","SITE_NAME","AREA_KM2","TERM","VALUE"
"POR","NH4","Power",4122.55080000001,"L",93318.1335675081
"POR","NH4","Lone_Pine",3692.78910000001,"L",96470.810610083
"POR","NH4","Godowa",1470.1266,"L",68443.6675144643
"POR","NH4","Sycan",1440.5751,"L",19701.835827354
"POR","NH4","SF",279.5418,"L",8145.69414222772
"POR","NH4","NF",186.8526,"L",12118.8570006328
"POR","NH4","Power-Lone_Pine",429.7617,"L",-3152.67704257496
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,"L",8325.30726826473
"POR","NH4","Godowa-SF-NF",1003.7322,"L",48179.1163716037
"POR","NO23","Power",4122.55080000001,"L",96096.3488380609
"POR","NO23","Lone_Pine",3692.78910000001,"L",104521.191177862
"POR","NO23","Godowa",1470.1266,"L",95109.540577301
"POR","NO23","Sycan",1440.5751,"L",22963.7491643733
"POR","NO23","SF",279.5418,"L",8379.34674761557
"POR","NO23","NF",186.8526,"L",15450.2136019
"POR","NO23","Power-Lone_Pine",429.7617,"L",-8424.8423398013
"POR","NO23","Lone_Pine-Godowa-Sycan",782.0874,"L",-13552.0985638121
"POR","NO23","Godowa-SF-NF",1003.7322,"L",71279.9802277854
"POR","PO4","Power",4122.55080000001,"L",217708.691580421
"POR","PO4","Lone_Pine",3692.78910000001,"L",210171.277148912
"POR","PO4","Godowa",1470.1266,"L",143413.687526247
"POR","PO4","Sycan",1440.5751,"L",27610.4726145901
"POR","PO4","SF",279.5418,"L",13341.040459287
"POR","PO4","NF",186.8526,"L",32173.5253085907
"POR","PO4","Power-Lone_Pine",429.7617,"L",7537.41443150953
"POR","PO4","Lone_Pine-Godowa-Sycan",782.0874,"L",39147.1170080747
"POR","PO4","Godowa-SF-NF",1003.7322,"L",97899.1217583692
"POR","TN","Power",4122.55080000001,"L",1926237.03056857
"POR","TN","Lone_Pine",3692.78910000001,"L",2081656.49209736
"POR","TN","Godowa",1470.1266,"L",1007382.00096237
"POR","TN","Sycan",1440.5751,"L",624183.826453144
"POR","TN","SF",279.5418,"L",117498.961632955
"POR","TN","NF",186.8526,"L",140293.54980711
"POR","TN","Power-Lone_Pine",429.7617,"L",-155419.46152879
"POR","TN","Lone_Pine-Godowa-Sycan",782.0874,"L",450090.664681843
"POR","TN","Godowa-SF-NF",1003.7322,"L",749589.489522305
"POR","TP","Power",4122.55080000001,"L",388498.964500351
"POR","TP","Lone_Pine",3692.78910000001,"L",401123.375140483
"POR","TP","Godowa",1470.1266,"L",255327.777595998
"POR","TP","Sycan",1440.5751,"L",69647.3735323601
"POR","TP","SF",279.5418,"L",27638.6297958764
"POR","TP","NF",186.8526,"L",47465.7527068563
"POR","TP","Power-Lone_Pine",429.7617,"L",-12624.4106401325
"POR","TP","Lone_Pine-Godowa-Sycan",782.0874,"L",76148.2240121257
"POR","TP","Godowa-SF-NF",1003.7322,"L",180223.395093265
"POR","PP","Power",4122.55080000001,"L",170805.933577837
"POR","PP","Lone_Pine",3692.78910000001,"L",190952.097991572
"POR","PP","Godowa",1470.1266,"L",111984.267965523
