"DATASET","VAR","SITE_NAME","AREA_KM2","WYEAR","TERM","VALUE"
"POR","NH4","Power",4122.55080000001,2002,"L",7639.56064007808
"POR","NH4","Power",4122.55080000001,2003,"L",6079.00815905959
"POR","NH4","Power",4122.55080000001,2004,"L",7577.14046118663
"POR","NH4","Power",4122.55080000001,2005,"L",7088.36427532751
"POR","NH4","Power",4122.55080000001,2006,"L",20258.3451952551
"POR","NH4","Power",4122.55080000001,2007,"L",8904.19003439006
"POR","NH4","Power",4122.55080000001,2008,"L",7852.65436604172
"POR","NH4","Power",4122.55080000001,2009,"L",4201.23187325599
"POR","NH4","Power",4122.55080000001,2010,"L",3242.54152752914
"POR","NH4","Power",4122.55080000001,2011,"L",11609.8537913618
"POR","NH4","Power",4122.55080000001,2012,"L",7648.26534935753
"POR","NH4","Power",4122.55080000001,2013,"L",3812.0521129471
"POR","NH4","Power",4122.55080000001,2014,"L",2660.87702143288
"POR","NH4","Power-Lone_Pine",429.7617,2002,"L",1202.19915267738
"POR","NH4","Power-Lone_Pine",429.7617,2003,"L",-1774.71660835807
"POR","NH4","Power-Lone_Pine",429.7617,2004,"L",-1026.43045234333
"POR","NH4","Power-Lone_Pine",429.7617,2005,"L",-676.767004346036
"POR","NH4","Power-Lone_Pine",429.7617,2006,"L",-1660.23680397025
"POR","NH4","Power-Lone_Pine",429.7617,2007,"L",196.147528144833
"POR","NH4","Power-Lone_Pine",429.7617,2008,"L",-776.645086941272
"POR","NH4","Power-Lone_Pine",429.7617,2009,"L",-387.090304085417
"POR","NH4","Power-Lone_Pine",429.7617,2010,"L",-229.984584421528
"POR","NH4","Power-Lone_Pine",429.7617,2011,"L",3221.67344683663
"POR","NH4","Power-Lone_Pine",429.7617,2012,"L",159.863153271495
"POR","NH4","Power-Lone_Pine",429.7617,2013,"L",-351.731324947154
"POR","NH4","Power-Lone_Pine",429.7617,2014,"L",150.497797101839
"POR","NH4","Lone_Pine",3692.78910000001,2002,"L",6437.3614874007
"POR","NH4","Lone_Pine",3692.78910000001,2003,"L",7853.72476741766
"POR","NH4","Lone_Pine",3692.78910000001,2004,"L",8603.57091352995
"POR","NH4","Lone_Pine",3692.78910000001,2005,"L",7765.13127967355
"POR","NH4","Lone_Pine",3692.78910000001,2006,"L",21918.5819992254
"POR","NH4","Lone_Pine",3692.78910000001,2007,"L",8708.04250624523
"POR","NH4","Lone_Pine",3692.78910000001,2008,"L",8629.29945298299
"POR","NH4","Lone_Pine",3692.78910000001,2009,"L",4588.32217734141
"POR","NH4","Lone_Pine",3692.78910000001,2010,"L",3472.52611195067
"POR","NH4","Lone_Pine",3692.78910000001,2011,"L",8388.18034452513
"POR","NH4","Lone_Pine",3692.78910000001,2012,"L",7488.40219608603
"POR","NH4","Lone_Pine",3692.78910000001,2013,"L",4163.78343789425
"POR","NH4","Lone_Pine",3692.78910000001,2014,"L",2510.37922433104
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2002,"L",-727.270198835496
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2003,"L",-186.956700261069
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2004,"L",2096.1031169233
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2005,"L",398.396502675486
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2006,"L",898.72141962667
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2007,"L",2057.40965076542
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2008,"L",785.300673354166
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2009,"L",184.0838651935
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2010,"L",-155.52737997681
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2011,"L",593.613891067217
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2012,"L",-1225.23009550902
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2013,"L",140.924354158946
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,2014,"L",52.2241739760081
"POR","NH4","Godowa",1470.1266,2002,"L",5796.39315446023
"POR","NH4","Godowa",1470.1266,2003,"L",6504.69451012144
"POR","NH4","Godowa",1470.1266,2004,"L",5272.22539827094
"POR","NH4","Godowa",1470.1266,2005,"L",6400.44251043343
"POR","NH4","Godowa",1470.1266,2006,"L",16242.7952157611
"POR","NH4","Godowa",1470.1266,2007,"L",5127.24910665214
"POR","NH4","Godowa",1470.1266,2008,"L",5818.62474647495
"POR","NH4","Godowa",1470.1266,2009,"L",3291.32058457796
"POR","NH4","Godowa",1470.1266,2010,"L",3025.8849936273
"POR","NH4","Godowa",1470.1266,2011,"L",5299.34762471186
"POR","NH4","Godowa",1470.1266,2012,"L",6227.31163815251
"POR","NH4","Godowa",1470.1266,2013,"L",3334.00434382076
"POR","NH4","Godowa",1470.1266,2014,"L",2106.3088027625
"POR","NH4","Godowa-SF-NF",1003.7322,2002,"L",4256.17374213373
