"SITE","SITE_DESCRIPTION","LATITUDE","LONGITUDE"
"","sprague",NA,NA
"","kirtchers",NA,NA
"","80",NA,NA
"","40",NA,NA
"","SR13",NA,NA
"","SR14",NA,NA
"","SR15",NA,NA
"","SR20",NA,NA
"","SR21",NA,NA
"","SR22",NA,NA
"","SP 01",NA,NA
"","SP 02",NA,NA
"","SP 03",NA,NA
"","SP 04",NA,NA
"","SP 05",NA,NA
"","SP 06",NA,NA
"","SP 07",NA,NA
"","SP 08",NA,NA
"","SP 09",NA,NA
"","SP 10",NA,NA
"","SP 11",NA,NA
"","SP 12",NA,NA
"","SP 13",NA,NA
"","SP 14",NA,NA
"","SP 15",NA,NA
"","SR0210",NA,NA
"B","Usgs Gage",42.4478055555556,-121.236583333333
"SR0040","NF Sprague @ 3411 Rd",42.4969722222222,-121.005555555556
"SR0040","NF Sprague @ 3411 Rd ",42.4969722222222,-121.005555555556
"SR0040","Sprague R @ Lone Pine",42.5505,-121.617611111111
"SR0050","SF Sprague @ Picnic Area",42.3760555555556,-120.969444444444
"SR0060","Sprague R @ Godowa Rd",42.4603888888889,-121.269861111111
"SR0070","Sycan R @ Drews Rd",42.4856944444444,-121.348722222222
"SR0080","Sprague R @ Lone Pine",42.5505,-121.617611111111
"SR0080","Sprauge R @ Lone Pine",42.5505,-121.617611111111
"SR0090","Sprague R @ Power Plant",42.5846388888889,-121.841861111111
"SR0100","Trout Creek",42.4872777777778,-121.621805555556
"SR0120","Five Mile Creek",42.5430555555556,-121.120333333333
"SR0130","Usgs Gage",42.4478055555556,-121.236583333333
"SR0130","USGS Gage",42.4478055555556,-121.236583333333
"SR0140","S.F.Sprague @ Ivory pine rd.",42.4395833333333,-121.094444444444
"SR0150","N.F.Sprague @Ivory pine rd.",42.4853333333333,-121.094638888889
"SR0160","Spring Creek",42.4516944444444,-121.258222222222
"SR0170","Anderson Springs",42.4500555555556,-121.242416666667
"SR0180","Kankaum Springs",42.5915,-121.701166666667
"SR0190","Lalo Springs",42.6041388888889,-121.702944444444
"SR0200","Whiskey Ck",42.4350555555556,-121.341583333333
"SR0200","Whiskey Creek",42.4350555555556,-121.341583333333
"SR0500","Kirk Springs",42.4496666666667,-121.243611111111
"SR0600","Brown Springs",42.4514722222222,-121.259111111111
"SR0700","Irrigation return flow",42.4631944444444,-121.358583333333
"SR0800","transect 1",42.4555,-121.276055555556
"SR0801","transect 2",42.5682222222222,-121.654388888889
"SRHYDE1","west side ditch big turn",NA,NA
"SRHYDE2","east side diversion big turn",NA,NA
"WR1000","Sprague R @ Kircher's Bridge",42.5680277777778,-121.864527777778
"WR1000","Sprague R @ Kircher's Bridge",42.5680277777778,-121.864527777778
