"DATE","TIME","YEAR","MONTH","DAY","SITE_DESCRIPTION","SITE","FLOW_cfs","STAGE_ft","TEMP_degC","COND_uScm","DO_ppm","PH_su","PSAT_pct","TP_ppb","PO4_ppb","NH4_ppb","NO23_ppb","NO2_ppb","TN_ppb","SIO2_ppb","TSS_ppm","TURBIDITY_NTU","TP_DUP","PO4_DUP","NH4_DUP","NO23_DUP","NO2_DUP","TN_DUP","SIO2_DUP","TSS_DUP","NOTES","TP_MDL","PO4_MDL","NH4_MDL","NO23_MDL","NO2_MDL","TN_MDL","TP_ppm","NH4_ppm","NO2_ppm","NO23_ppm","TN_ppm","SIO2_ppm","PO4_ppm","INDEX"
2014-10-28,"1130","2014","10","28","NF Sprague @ 3411 Rd","SR0040",45.75,0.74,4.65,59,11.37,7.68,102.7,50,41,9,9,0.5,74,28800,1.26,1.02,0.05,0.041,0.012,0.008,5e-04,0.096,28.7,1.05,"4.a. NO2+3 original 0.010 0.047 0.087 1st. Rerun 0.011 0.013 0.087  Second rerun was ran outside of the 30 day window",NA,NA,NA,NA,NA,NA,0.05,0.009,5e-04,0.009,0.074,28.8,0.041,"1"
2014-10-28,"950","2014","10","28","SF Sprague @ Picnic Area","SR0050",12.43,0.8,4.52,98,11.39,7.57,102.7,40,22,10,4,0.5,124,35500,0.53,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.01,5e-04,0.004,0.124,35.5,0.022,"2"
2014-10-29,"1125","2014","10","29","Sprague R @ Godowa Rd","SR0060",165.46,1.02,10.25,92,9.21,7.66,95.8,52,41,8,39,0.5,120,31900,4.02,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,0.008,5e-04,0.039,0.12,31.9,0.041,"3"
2014-10-29,"1330","2014","10","29","Sycan R @ Drews Rd","SR0070",14.3,0.89,10.11,160,9.87,7.81,102.3,47,35,8,28,0.5,267,29500,0.86,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.008,5e-04,0.028,0.267,29.5,0.035,"4"
2014-10-27,"1130","2014","10","27","Sprague R @ Lone Pine","SR0080",243.32,1.32,8.2,117,10.03,7.87,99.2,51,32,11,4,0.5,196,29000,4.04,2.18,0.049,0.035,0.01,0.004,5e-04,0.199,28.9,2.04,NA,NA,NA,NA,NA,NA,NA,0.051,0.011,5e-04,0.004,0.196,29,0.032,"5"
2014-10-27,"955","2014","10","27","Sprague R @ Power Plant","SR0090",266.99,1.74,7.99,107,10.56,7.82,104,41,29,14,4,0.5,151,27700,2.61,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0.014,5e-04,0.004,0.151,27.7,0.029,"6"
2014-10-28,"1330","2014","10","28","N. Fork Sprague R @ Ivory Pine","SR0140",67.53,1.34,6.46,72,11.34,7.77,107.4,48,35,11,4,0.5,75,30300,1.44,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.011,5e-04,0.004,0.075,30.3,0.035,"7"
2014-10-29,"945","2014","10","29","SF Sprague @ Ivory Pine","SR0150",16.24,0,8.2,125,9.05,6.98,89.6,44,25,3,9,0.5,287,31600,4.86,5.35,0.048,0.025,0.003,0.009,5e-04,0.302,31.6,4.38,"3.a. NH4 DI blank high original 0.046 2nd. Rerun 0.045 2.a. NH4 original 0.007 0.019 0.065 ",NA,NA,NA,NA,NA,NA,0.044,0.003,5e-04,0.009,0.287,31.6,0.025,"8"
2014-11-10,"1130","2014","11","10","NF Sprague @ 3411 Rd","SR0040",40.89,0.72,3.81,59,11.43,7.74,101.6,51,42,3,12,0.5,47,29200,1.56,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.003,5e-04,0.012,0.047,29.2,0.042,"9"
2014-11-10,"945","2014","11","10","SF Sprague @ Picnic Area","SR0050",12.31,0.8,3.84,101,11.53,7.87,102.5,36,24,3,4,0.5,79,35400,0.81,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.003,5e-04,0.004,0.079,35.4,0.024,"10"
