INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
1,1/3/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,3,3,1,3,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,,,,0.039,,,,,0.005,,,,,0.01,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/25/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,25,25,1,25,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,,,0.038,,,,,0.017,,,,,0.005,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2/8/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,39,39,2,8,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,0.041,,,,,0.005,,,,,0.005,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2/20/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,51,51,2,20,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,0.042,,,,,0.005,,,,,0.005,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/8/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,67,67,3,8,2001,1030,,,7.15,,,,0.1020,102.0,,,,10.21,,,,7.29,,,,96.8,,,,0.062,,,,,0.042,,,,,0.016,,,,,0.005,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3/19/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,78,78,3,19,2001,1035,,,9.54,,,,0.0860,86.0,,,,9.73,,,,7.57,,,,96.6,,,,0.084,0.080,0.004,4.878,pass,0.051,0.051,0.000,0.000,pass,0.021,0.013,0.008,47.059,pass,0.005,0.005,0.000,0.000,pass,0.282,0.196,0.086,35.983,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/20/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd ,SR0040,79,79,3,20,2001,,,0.86,5.76,,,,0.0540,54.0,147.0,148.0,1.0,10.43,,,,7.61,7.00,7.02,0.02,95.6,,,,0.069,0.068,0.001,1.460,pass,0.048,0.046,0.002,4.255,pass,0.005,0.005,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.208,0.170,0.038,20.106,pass,0.25,,,,,4.00,,,,,0.800,,,,,2.400,,,,,,,,,,
8,3/29/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,88,88,3,29,2001,1434,,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4/2/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,92,92,4,2,2001,1035,,,9.16,,,,0.0810,81.0,,,,10.36,,,,7.30,,,,101.7,,,,0.082,,,,,0.045,,,,,0.037,,,,,0.013,,,,,0.419,,,,,1.30,,,,,14.50,,,,,,,,,,,,,,,,,,,,
10,4/14/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,104,104,4,14,2001,1025,,,7.46,,,,0.0980,98.0,,,,11.07,,,,8.04,,,,105.5,,,,0.064,,,,,0.040,,,,,0.014,,,,,0.005,,,,,0.258,,,,,1.00,,,,,7.00,,,,,,,,,,,,,,,,,,,,
11,5/23/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,143,143,5,23,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.069,,,,,0.052,,,,,0.020,,,,,0.005,,,,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6/11/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,162,162,6,11,2001,1010,,,15.58,,,,0.1300,130.0,,,,9.17,,,,8.42,,,,106.1,,,,0.052,,,,,0.043,,,,,0.011,,,,,0.005,,,,,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6/14/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,165,165,6,14,2001,1420,,,21.47,,,,0.1160,116.0,,,,11.17,,,,8.88,,,,144.7,,,,0.056,,,,,0.041,,,,,0.005,,,,,0.005,,,,,0.143,,,,,1.10,,,,,2.50,,,,,,,,,,,,,,,,,,,,
14,6/20/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,172,172,6,20,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,0.036,,,,,0.031,,,,,0.005,,,,,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7/2/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,184,184,7,2,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,0.026,,,,,0.018,,,,,0.012,,,,,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7/18/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,199,199,7,18,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.029,,,,,0.005,,,,,0.005,,,,,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7/30/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,212,212,7,30,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,0.032,,,,,0.005,,,,,0.010,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
