0,11,21,22,23,24,31,41,42,52,71,81,82,90,95,AreaSqKM,SITE,__fid__
195,238,,,,,177,5,129145,47790,29424,,,7,633,186.8526,SR0040,0
388,27,1002,240,28,,359,41,197706,75563,34447,523,,18,260,279.5418,SR0050,1
79,22,2251,416,38,,1402,,91034,56692,31744,2917,6075,10,9152,181.6488,SR0060,2
1110,74,428,22,,,7783,,858508,361755,249106,6041,3131,4273,108408,1440.5751,SR0070,3
219,1614,7687,1050,41,,3615,,357546,205991,204220,19966,35007,201,31897,782.0874,SR0080,4
506,836,1318,363,13,,1870,,349946,73090,30490,6787,4546,634,7250,429.7617,SR0090,5
,121,9,5,,,246,,195922,125231,58978,704,1230,193,4553,348.4728,SR0140,6
177,2382,2783,467,87,7,798,10,225722,146692,113842,6592,11049,362,15264,473.6106,SR0150,7
145,39,231,166,32,1,72,,49023,2763,1029,,,,132,48.2526,WR1000,8
