INDEX,DATE,GPS,GPS,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
1,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1335,,,14.41,,,,0.0630,63.0,147.0,155.0,8.0,7.49,,,,8.00,10.02,10.12,0.10,73.2,,,,0.058,,,,,0.054,,,,,0.005,,,,,0.012,,,,,0.050,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
2,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1437,,,14.79,,,,0.0620,62.0,147.0,155.0,8.0,7.45,,,,8.11,10.02,10.12,0.10,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1620,,,15.94,,,,0.0620,62.0,147.0,155.0,8.0,7.42,,,,8.01,10.02,10.12,0.10,74.5,,,,0.060,,,,,0.053,,,,,0.005,,,,,0.011,,,,,0.050,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
4,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1730,,,16.29,,,,0.0630,63.0,147.0,155.0,8.0,7.19,,,,8.09,10.02,10.12,0.10,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1830,,,16.03,,,,0.0640,64.0,147.0,155.0,8.0,6.95,,,,7.74,10.02,10.12,0.10,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,1933,,,15.63,,,,0.0640,64.0,147.0,155.0,8.0,7.07,,,,7.78,10.02,10.12,0.10,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8/8/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,220,220,8,8,2001,2030,,,15.15,,,,0.0630,63.0,147.0,155.0,8.0,7.32,,,,7.96,10.02,10.12,0.10,72.5,,,,0.073,,,,,0.056,,,,,0.005,,,,,0.013,,,,,0.050,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
8,8/8/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,220,220,8,8,2001,1300,,,21.08,,,,0.1010,101.0,147.0,155.0,8.0,9.24,,,,8.09,10.02,10.12,0.10,120.5,,,,0.044,,,,,0.037,,,,,0.020,,,,,0.005,,,,,0.050,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
9,8/8/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,220,220,8,8,2001,1413,,,22.54,,,,0.1080,108.0,147.0,155.0,8.0,7.53,,,,8.43,10.02,10.12,0.10,86.4,,,,0.045,,,,,0.036,,,,,0.041,,,,,0.005,,,,,0.196,,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,
10,8/8/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,220,220,8,8,2001,1550,,,23.21,,,,0.1070,107.0,147.0,155.0,8.0,7.20,,,,8.51,10.02,10.12,0.10,84.1,,,,0.046,,,,,0.040,,,,,0.026,,,,,0.005,,,,,0.125,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
