INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_mgl,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_perc,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_SPIKE,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_SPIKE,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_SPIKE,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_SPIKE,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,NO2_MGL,NO2_DUP,NO2_SPIKE,NO2_DIFF,NO2_RPD,NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_SPIKE,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_SPIKE,CL_DIFF,CL_RPD,CL_PASS_FAIL,SIO2+MGL,SIO2_DUP,SIO2_SPIKE,SIO2_DIFF,SIO2_RPD,SIO2_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,TURB_MGL,TURB_DUP,TURB_DIFF,TURB_RPD,TURB_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,Notes
1,3/7/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,66,66,3,7,2001,1244,48.4,0.75,4.7,,,,0.05,50,,,,11.9,,,,7.7,,,,101.2,,,,0.056,,,,,,0.049,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.05,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,1.1,,,,,
2,3/7/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,66,66,3,7,2001,1408,20.8,,6.47,,,,0.08,80,,,,12.6,,,,7.6,,,,110,,,,0.047,,,,,,0.032,,,,,,0.01,,,,,,0.005,,,,,,,,,,,,0.092,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,4.7,,,,,
3,3/20/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,79,79,3,20,2001,1235,41.8,,5.76,,,,0.078,78,147,148,1,11.36,,,,7.8,7,7.03,0.03,102.6,,,,0.066,,,,,,0.031,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.279,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,5.3,,,,,
4,3/21/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,80,80,3,21,2001,1154,64.3,0.88,5.3,,,,0.05,50,147,158,11,11.39,,,,7.38,10.04,10.07,0.03,102,,,,0.069,,,,,,0.046,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.246,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,2.4,,,,,
5,3/21/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,80,80,3,21,2001,,335,,11.55,,,,0.079,79,147,158,11,9.66,,,,7.65,10.04,10.07,0.03,100.3,,,,0.097,,,,,,0.048,,,,,,0.027,,,,,,0.021,,,,,,,,,,,,0.443,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,2.8,,,,,
6,3/21/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,80,80,3,21,2001,1507,68.6,,10.13,,,,0.069,69,147,158,11,10.5,,,,7.68,10.04,10.07,0.03,106.4,,,,0.068,0.066,,0.002,2.985074627,pass,0.032,0.062,,0.03,63.82978723,fail,0.036,0.034,,0.002,5.714285714,pass,0.005,0.005,,0,0,pass,,,,,,,0.517,0.555,,0.038,7.089552239,pass,1.3,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,3.3,,,,,
7,3/22/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,81,81,3,22,2001,1022,439,2.05,10.08,,,,0.1,100,147,127,20,9.81,,,,7.46,10.05,10.07,0.02,98.7,,,,0.087,,,,,,0.044,,,,,,0.019,,,,,,0.011,,,,,,,,,,,,0.424,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,4.5,,,,,
8,4/4/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,94,94,4,4,2001,1110,62.5,0.88,1.76,,,,0.042,42,147,148,1,14.48,,,,7.9,10.1,10.08,0.02,111.1,,,,0.056,,,,,,0.042,,,,,,0.01,,,,,,0.015,,,,,,,,,,,,0.163,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4/4/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,94,94,4,4,2001,950,41.6,,0.5,,,,0.062,62,147,148,1,12.6,,,,7.14,10.1,10.08,0.02,100.5,,,,0.048,,,,,,0.021,,,,,,0.014,,,,,,0.017,,,,,,,,,,,,0.18,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4/4/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,94,94,4,4,2001,1420,331,,8.9,,,,0.07,70,147,148,1,11.75,,,,7.31,10.1,10.08,0.02,111.7,,,,0.063,0.062,,0.001,1.6,pass,0.04,0.037,,0.003,7.792207792,pass,0.02,0.022,,0.002,9.523809524,pass,0.029,0.028,,0.001,3.50877193,pass,,,,,,,0.2,0.143,,0.057,33.2361516,pass,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
