0,11,21,22,23,24,31,42,52,71,81,82,90,95,AreaSqKM,SITE,__fid__
568,,,,,,,,,,,,,,186.8526,SR0040,0
1630,,,,,,,5,3,17,,,,,279.5418,SR0050,1
159313,22,1859,384,38,,99,1041,9028,12882,2375,5810,10,8971,181.6488,SR0060,2
543224,19,264,17,,,8,583,2768,3603,728,1865,198,3036,1440.5751,SR0070,3
665950,692,4486,583,27,,1425,24413,49258,49074,14237,31201,54,27586,782.0874,SR0080,4
314647,214,577,147,7,,131,11581,9612,8318,4819,4274,79,3039,429.7617,SR0090,5
270276,14,,,,,2,188,2525,4259,444,1142,157,3317,348.4728,SR0140,6
137522,165,1065,269,55,5,12,414,5057,6496,4458,10626,148,11803,473.6106,SR0150,7
50114,36,192,165,32,1,58,2233,545,189,,,,49,48.2526,WR1000,8
