station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11497550	10-01-2008	170   	Published	Estimated		02-06-2015 11:44
11497550	10-02-2008	189   	Published	Estimated		02-06-2015 11:44
11497550	10-03-2008	205   	Published	Estimated		02-06-2015 11:44
11497550	10-04-2008	260   	Published	Estimated		02-06-2015 11:44
11497550	10-05-2008	251   	Published	Estimated		02-06-2015 11:44
11497550	10-06-2008	235   	Published	Estimated		02-06-2015 11:44
11497550	10-07-2008	222   	Published	Estimated		02-06-2015 11:44
11497550	10-08-2008	189   	Published	Estimated		02-06-2015 11:44
11497550	10-09-2008	187   	Published	Estimated		02-06-2015 11:44
11497550	10-10-2008	186   	Published	Estimated		02-06-2015 11:44
11497550	10-11-2008	186   	Published	Estimated		02-06-2015 11:44
11497550	10-12-2008	184   	Published	Estimated		02-06-2015 11:44
11497550	10-13-2008	186   	Published	Estimated		02-06-2015 11:44
11497550	10-14-2008	186   	Published	Estimated		02-06-2015 11:44
11497550	10-15-2008	186   	Published	Estimated		02-06-2015 11:44
11497550	10-16-2008	184   	Published	Estimated		02-06-2015 11:44
11497550	10-17-2008	183   	Published	Estimated		02-06-2015 11:44
11497550	10-18-2008	184   	Published	Estimated		02-06-2015 11:44
11497550	10-19-2008	185   	Published	Estimated		02-06-2015 11:44
11497550	10-20-2008	189   	Published	Estimated		02-06-2015 11:44
11497550	10-21-2008	183   	Published	Estimated		02-06-2015 11:44
11497550	10-22-2008	195   	Published	Estimated		02-06-2015 11:44
11497550	10-23-2008	196   	Published	Estimated		02-06-2015 11:44
11497550	10-24-2008	195   	Published	Estimated		02-06-2015 11:44
11497550	10-25-2008	192   	Published	Estimated		02-06-2015 11:44
11497550	10-26-2008	194   	Published	Estimated		02-06-2015 11:44
11497550	10-27-2008	192   	Published	Estimated		02-06-2015 11:44
11497550	10-28-2008	192   	Published	Estimated		02-06-2015 11:44
11497550	10-29-2008	191   	Published	Estimated		02-06-2015 11:44
11497550	10-30-2008	191   	Published	Estimated		02-06-2015 11:44
11497550	10-31-2008	189   	Published	Estimated		02-06-2015 11:44
11497550	11-01-2008	196   	Published	Estimated		02-06-2015 11:44
11497550	11-02-2008	205   	Published	Estimated		02-06-2015 11:44
11497550	11-03-2008	212   	Published	Estimated		02-06-2015 11:44
11497550	11-04-2008	218   	Published	Estimated		02-06-2015 11:44
11497550	11-05-2008	217   	Published	Estimated		02-06-2015 11:44
11497550	11-06-2008	232   	Published	Estimated		02-06-2015 11:44
11497550	11-07-2008	224   	Published	Estimated		02-06-2015 11:44
11497550	11-08-2008	218   	Published	Estimated		02-06-2015 11:44
11497550	11-09-2008	215   	Published	Estimated		02-06-2015 11:44
11497550	11-10-2008	213   	Published	Estimated		02-06-2015 11:44
11497550	11-11-2008	212   	Published	Estimated		02-06-2015 11:44
11497550	11-12-2008	225   	Published	Estimated		02-06-2015 11:44
11497550	11-13-2008	240   	Published	Estimated		02-06-2015 11:44
11497550	11-14-2008	243   	Published	Estimated		02-06-2015 11:44
11497550	11-15-2008	230   	Published	Estimated		02-06-2015 11:44
11497550	11-16-2008	214   	Published	Estimated		02-06-2015 11:44
11497550	11-17-2008	212   	Published	Estimated		02-06-2015 11:44
11497550	11-18-2008	206   	Published	Estimated		02-06-2015 11:44
11497550	11-19-2008	207   	Published	Estimated		02-06-2015 11:44
11497550	11-20-2008	209   	Published	Estimated		02-06-2015 11:44
11497550	11-21-2008	208   	Published	Estimated		02-06-2015 11:44
11497550	11-22-2008	205   	Published	Estimated		02-06-2015 11:44
11497550	11-23-2008	206   	Published	Estimated		02-06-2015 11:44
11497550	11-24-2008	199   	Published	Estimated		02-06-2015 11:44
11497550	11-25-2008	206   	Published	Estimated		02-06-2015 11:44
11497550	11-26-2008	214   	Published	Estimated		02-06-2015 11:44
11497550	11-27-2008	207   	Published	Estimated		02-06-2015 11:44
11497550	11-28-2008	199   	Published	Estimated		02-06-2015 11:44
11497550	11-29-2008	196   	Published	Estimated		02-06-2015 11:44
11497550	11-30-2008	200   	Published	Estimated		02-06-2015 11:44
11497550	12-01-2008	198   	Published	Estimated		02-06-2015 11:44
11497550	12-02-2008	204   	Published	Estimated		02-06-2015 11:44
11497550	12-03-2008	199   	Published	Estimated		02-06-2015 11:44
11497550	12-04-2008	187   	Published	Estimated		02-06-2015 11:44
11497550	12-05-2008	177   	Published	Estimated		02-06-2015 11:44
11497550	12-06-2008	188   	Published	Estimated		02-06-2015 11:44
11497550	12-07-2008	188   	Published	Estimated		02-06-2015 11:44
11497550	12-08-2008	196   	Published	Estimated		02-06-2015 11:44
11497550	12-09-2008	183   	Published	Estimated		02-06-2015 11:44
11497550	12-10-2008	182   	Published	Estimated		02-06-2015 11:44
11497550	12-11-2008	187   	Published	Estimated		02-06-2015 11:44
11497550	12-12-2008	203   	Published	Estimated		02-06-2015 11:44
11497550	12-13-2008	211   	Published	Estimated		02-06-2015 11:44
11497550	12-14-2008	198   	Published	Estimated		02-06-2015 11:44
11497550	12-15-2008	187   	Published	Estimated		02-06-2015 11:44
11497550	12-16-2008	139   	Published	Estimated		02-06-2015 11:44
11497550	12-17-2008	156   	Published	Estimated		02-06-2015 11:44
11497550	12-18-2008	172   	Published	Estimated		02-06-2015 11:44
11497550	12-19-2008	196   	Published	Estimated		02-06-2015 11:44
11497550	12-20-2008	199   	Published	Estimated		02-06-2015 11:44
11497550	12-21-2008	205   	Published	Estimated		02-06-2015 11:44
11497550	12-22-2008	214   	Published	Estimated		02-06-2015 11:44
11497550	12-23-2008	202   	Published	Estimated		02-06-2015 11:44
11497550	12-24-2008	200   	Published	Estimated		02-06-2015 11:44
11497550	12-25-2008	203   	Published	Estimated		02-06-2015 11:44
11497550	12-26-2008	175   	Published	Estimated		02-06-2015 11:44
11497550	12-27-2008	188   	Published	Estimated		02-06-2015 11:44
11497550	12-28-2008	209   	Published	Estimated		02-06-2015 11:44
11497550	12-29-2008	216   	Published	Estimated		02-06-2015 11:44
11497550	12-30-2008	214   	Published	Estimated		02-06-2015 11:44
11497550	12-31-2008	206   	Published	Estimated		02-06-2015 11:44
11497550	01-01-2009	214   	Published	Estimated		02-06-2015 11:44
11497550	01-02-2009	240   	Published	Estimated		02-06-2015 11:44
11497550	01-03-2009	226   	Published	Estimated		02-06-2015 11:44
11497550	01-04-2009	159   	Published	Estimated		02-06-2015 11:44
11497550	01-05-2009	216   	Published	Estimated		02-06-2015 11:44
11497550	01-06-2009	229   	Published	Estimated		02-06-2015 11:44
11497550	01-07-2009	234   	Published	Estimated		02-06-2015 11:44
11497550	01-08-2009	252   	Published	Estimated		02-06-2015 11:44
11497550	01-09-2009	234   	Published	Estimated		02-06-2015 11:44
11497550	01-10-2009	201   	Published	Estimated		02-06-2015 11:44
11497550	01-11-2009	208   	Published	Estimated		02-06-2015 11:44
11497550	01-12-2009	213   	Published	Estimated		02-06-2015 11:44
11497550	01-13-2009	211   	Published	Estimated		02-06-2015 11:44
11497550	01-14-2009	187   	Published	Estimated		02-06-2015 11:44
11497550	01-15-2009	183   	Published	Estimated		02-06-2015 11:44
11497550	01-16-2009	181   	Published	Estimated		02-06-2015 11:44
11497550	01-17-2009	178   	Published	Estimated		02-06-2015 11:44
11497550	01-18-2009	181   	Published	Estimated		02-06-2015 11:44
11497550	01-19-2009	179   	Published	Estimated		02-06-2015 11:44
11497550	01-20-2009	184   	Published	Estimated		02-06-2015 11:44
11497550	01-21-2009	186   	Published	Estimated		02-06-2015 11:44
11497550	01-22-2009	198   	Published	Estimated		02-06-2015 11:44
11497550	01-23-2009	224   	Published	Estimated		02-06-2015 11:44
11497550	01-24-2009	236   	Published			02-06-2015 11:44
11497550	01-25-2009	238   	Published			02-06-2015 11:44
11497550	01-26-2009	227   	Published			02-06-2015 11:44
11497550	01-27-2009	204   	Published			02-06-2015 11:44
11497550	01-28-2009	220   	Published			02-06-2015 11:44
11497550	01-29-2009	217   	Published			02-06-2015 11:44
11497550	01-30-2009	212   	Published			02-06-2015 11:44
11497550	01-31-2009	213   	Published			02-06-2015 11:44
11497550	02-01-2009	211   	Published			02-06-2015 11:44
11497550	02-02-2009	210   	Published			02-06-2015 11:44
11497550	02-03-2009	213   	Published			02-06-2015 11:44
11497550	02-04-2009	216   	Published			02-06-2015 11:44
11497550	02-05-2009	221   	Published			02-06-2015 11:44
11497550	02-06-2009	222   	Published			02-06-2015 11:44
11497550	02-07-2009	223   	Published			02-06-2015 11:44
11497550	02-08-2009	223   	Published			02-06-2015 11:44
11497550	02-09-2009	219   	Published			02-06-2015 11:44
11497550	02-10-2009	211   	Published			02-06-2015 11:44
11497550	02-11-2009	212   	Published			02-06-2015 11:44
11497550	02-12-2009	215   	Published			02-06-2015 11:44
11497550	02-13-2009	213   	Published			02-06-2015 11:44
11497550	02-14-2009	212   	Published			02-06-2015 11:44
11497550	02-15-2009	211   	Published			02-06-2015 11:44
11497550	02-16-2009	213   	Published			02-06-2015 11:44
11497550	02-17-2009	214   	Published			02-06-2015 11:44
11497550	02-18-2009	213   	Published			02-06-2015 11:44
11497550	02-19-2009	212   	Published			02-06-2015 11:44
11497550	02-20-2009	211   	Published			02-06-2015 11:44
11497550	02-21-2009	213   	Published			02-06-2015 11:44
11497550	02-22-2009	220   	Published			02-06-2015 11:44
11497550	02-23-2009	274   	Published			02-06-2015 11:44
11497550	02-24-2009	335   	Published			02-06-2015 11:44
11497550	02-25-2009	314   	Published			02-06-2015 11:44
11497550	02-26-2009	276   	Published			02-06-2015 11:44
11497550	02-27-2009	254   	Published			02-06-2015 11:44
11497550	02-28-2009	242   	Published			02-06-2015 11:44
11497550	03-01-2009	249   	Published			02-06-2015 11:44
11497550	03-02-2009	325   	Published			02-06-2015 11:44
11497550	03-03-2009	596   	Published			02-06-2015 11:44
11497550	03-04-2009	505   	Published			02-06-2015 11:44
11497550	03-05-2009	371   	Published			02-06-2015 11:44
11497550	03-06-2009	326   	Published			02-06-2015 11:44
11497550	03-07-2009	278   	Published			02-06-2015 11:44
