# Swan Lake Mtn (1077)
# Oregon  SNOTEL Site - 6830 ft
# Daily Data for Period of Record
#
# (As of: Thu Feb 19 12:40:47 PST 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in)
2006-10-01,0.0
2006-10-02,0.0
2006-10-03,0.0
2006-10-04,0.0
2006-10-05,0.0
2006-10-06,0.0
2006-10-07,0.0
2006-10-08,0.0
2006-10-09,0.0
2006-10-10,0.0
2006-10-11,0.0
2006-10-12,0.0
2006-10-13,0.0
2006-10-14,0.0
2006-10-15,0.0
2006-10-16,0.0
2006-10-17,
2006-10-18,0.0
2006-10-19,0.0
2006-10-20,0.0
2006-10-21,0.0
2006-10-22,0.0
2006-10-23,0.0
2006-10-24,0.0
2006-10-25,0.0
2006-10-26,0.0
2006-10-27,0.0
2006-10-28,0.0
2006-10-29,0.0
2006-10-30,0.0
2006-10-31,0.0
2006-11-01,0.0
2006-11-02,0.0
2006-11-03,0.0
2006-11-04,0.0
2006-11-05,0.0
2006-11-06,0.0
2006-11-07,0.2
2006-11-08,0.2
2006-11-09,0.3
2006-11-10,0.4
2006-11-11,0.7
2006-11-12,0.9
2006-11-13,2.7
2006-11-14,3.7
2006-11-15,4.1
2006-11-16,4.4
2006-11-17,4.1
2006-11-18,4.2
2006-11-19,4.2
2006-11-20,4.2
2006-11-21,4.0
2006-11-22,3.9
2006-11-23,4.3
2006-11-24,4.1
2006-11-25,4.4
2006-11-26,4.6
2006-11-27,5.8
2006-11-28,6.1
2006-11-29,6.4
2006-11-30,6.7
2006-12-01,6.8
2006-12-02,6.9
2006-12-03,7.0
2006-12-04,7.0
2006-12-05,7.1
2006-12-06,7.1
2006-12-07,7.1
2006-12-08,7.3
2006-12-09,7.3
2006-12-10,7.6
2006-12-11,7.7
2006-12-12,8.4
2006-12-13,9.4
2006-12-14,10.4
2006-12-15,10.5
2006-12-16,10.8
2006-12-17,11.0
2006-12-18,10.9
2006-12-19,11.0
2006-12-20,10.9
2006-12-21,10.8
2006-12-22,11.2
2006-12-23,11.0
2006-12-24,11.2
2006-12-25,11.3
2006-12-26,12.1
2006-12-27,13.8
2006-12-28,13.7
2006-12-29,13.9
2006-12-30,13.9
2006-12-31,14.0
2007-01-01,13.9
2007-01-02,14.0
2007-01-03,14.4
2007-01-04,15.7
2007-01-05,15.7
