# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-06 14:35:09 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11495800 N FORK SPRAGUE RIVER AT POWER PLANT, NEAR BLY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 11495800
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11495800	1993-05-01	250	A:e
USGS	11495800	1993-05-02	300	A:e
USGS	11495800	1993-05-03	330	A:e
USGS	11495800	1993-05-04	350	A:e
USGS	11495800	1993-05-05	400	A:e
USGS	11495800	1993-05-06	582	A
USGS	11495800	1993-05-07	440	A
USGS	11495800	1993-05-08	381	A
USGS	11495800	1993-05-09	396	A
USGS	11495800	1993-05-10	447	A
USGS	11495800	1993-05-11	520	A
USGS	11495800	1993-05-12	570	A
USGS	11495800	1993-05-13	537	A
USGS	11495800	1993-05-14	495	A
USGS	11495800	1993-05-15	482	A
USGS	11495800	1993-05-16	470	A
USGS	11495800	1993-05-17	446	A
USGS	11495800	1993-05-18	403	A
USGS	11495800	1993-05-19	388	A
USGS	11495800	1993-05-20	377	A
USGS	11495800	1993-05-21	369	A
USGS	11495800	1993-05-22	370	A
USGS	11495800	1993-05-23	287	A
USGS	11495800	1993-05-24	269	A
USGS	11495800	1993-05-25	328	A
USGS	11495800	1993-05-26	307	A
USGS	11495800	1993-05-27	387	A
USGS	11495800	1993-05-28	290	A
USGS	11495800	1993-05-29	225	A
USGS	11495800	1993-05-30	234	A
USGS	11495800	1993-05-31	343	A
USGS	11495800	1993-06-01	395	A
USGS	11495800	1993-06-02	369	A
USGS	11495800	1993-06-03	312	A
USGS	11495800	1993-06-04	342	A
USGS	11495800	1993-06-05	323	A
USGS	11495800	1993-06-06	425	A
USGS	11495800	1993-06-07	368	A
USGS	11495800	1993-06-08	342	A
USGS	11495800	1993-06-09	324	A
USGS	11495800	1993-06-10	298	A
USGS	11495800	1993-06-11	239	A
USGS	11495800	1993-06-12	197	A
USGS	11495800	1993-06-13	164	A
USGS	11495800	1993-06-14	125	A
USGS	11495800	1993-06-15	114	A
USGS	11495800	1993-06-16	106	A
USGS	11495800	1993-06-17	99	A
USGS	11495800	1993-06-18	90	A
USGS	11495800	1993-06-19	82	A
USGS	11495800	1993-06-20	81	A
USGS	11495800	1993-06-21	74	A
USGS	11495800	1993-06-22	68	A
USGS	11495800	1993-06-23	55	A
USGS	11495800	1993-06-24	56	A
USGS	11495800	1993-06-25	44	A
USGS	11495800	1993-06-26	40	A
USGS	11495800	1993-06-27	37	A
USGS	11495800	1993-06-28	44	A
USGS	11495800	1993-06-29	44	A
USGS	11495800	1993-06-30	46	A
USGS	11495800	1993-07-01	33	A
USGS	11495800	1993-07-02	27	A
USGS	11495800	1993-07-03	26	A
USGS	11495800	1993-07-04	29	A
USGS	11495800	1993-07-05	32	A
USGS	11495800	1993-07-06	30	A
USGS	11495800	1993-07-07	29	A
USGS	11495800	1993-07-08	29	A
USGS	11495800	1993-07-09	29	A
USGS	11495800	1993-07-10	29	A
USGS	11495800	1993-07-11	28	A
USGS	11495800	1993-07-12	28	A
