# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-06 14:35:10 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11497500 SPRAGUE RIVER NEAR BEATTY, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 11497500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11497500	1953-10-01	140	A
USGS	11497500	1953-10-02	150	A
USGS	11497500	1953-10-03	150	A
USGS	11497500	1953-10-04	150	A
USGS	11497500	1953-10-05	150	A
USGS	11497500	1953-10-06	160	A
USGS	11497500	1953-10-07	170	A
USGS	11497500	1953-10-08	158	A
USGS	11497500	1953-10-09	153	A
USGS	11497500	1953-10-10	160	A
USGS	11497500	1953-10-11	186	A
USGS	11497500	1953-10-12	179	A
USGS	11497500	1953-10-13	168	A
USGS	11497500	1953-10-14	166	A
USGS	11497500	1953-10-15	163	A
USGS	11497500	1953-10-16	166	A
USGS	11497500	1953-10-17	163	A
USGS	11497500	1953-10-18	179	A
USGS	11497500	1953-10-19	241	A
USGS	11497500	1953-10-20	220	A
USGS	11497500	1953-10-21	197	A
USGS	11497500	1953-10-22	189	A
USGS	11497500	1953-10-23	189	A
USGS	11497500	1953-10-24	186	A
USGS	11497500	1953-10-25	186	A
USGS	11497500	1953-10-26	184	A
USGS	11497500	1953-10-27	184	A
USGS	11497500	1953-10-28	181	A
USGS	11497500	1953-10-29	181	A
USGS	11497500	1953-10-30	179	A
USGS	11497500	1953-10-31	179	A
USGS	11497500	1953-11-01	181	A
USGS	11497500	1953-11-02	184	A
USGS	11497500	1953-11-03	189	A
USGS	11497500	1953-11-04	186	A
USGS	11497500	1953-11-05	184	A
USGS	11497500	1953-11-06	181	A
USGS	11497500	1953-11-07	181	A
USGS	11497500	1953-11-08	179	A
USGS	11497500	1953-11-09	181	A
USGS	11497500	1953-11-10	184	A
USGS	11497500	1953-11-11	184	A
USGS	11497500	1953-11-12	189	A
USGS	11497500	1953-11-13	192	A
USGS	11497500	1953-11-14	194	A
USGS	11497500	1953-11-15	189	A
USGS	11497500	1953-11-16	184	A
USGS	11497500	1953-11-17	189	A
USGS	11497500	1953-11-18	184	A
USGS	11497500	1953-11-19	181	A
USGS	11497500	1953-11-20	194	A
USGS	11497500	1953-11-21	192	A
USGS	11497500	1953-11-22	212	A
USGS	11497500	1953-11-23	355	A
USGS	11497500	1953-11-24	683	A
USGS	11497500	1953-11-25	635	A
USGS	11497500	1953-11-26	392	A
USGS	11497500	1953-11-27	309	A
USGS	11497500	1953-11-28	272	A
USGS	11497500	1953-11-29	246	A
